"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","11","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","12","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/repository-structure.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","13","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/local-build-test-run.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","14","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/Java-Quality-Guide.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","15","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/dependency-management.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","16","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/Build-CI-and-Release-Guide.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","17","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/development/release-and-versioning.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","18","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/standards/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","19","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/standards/coding-standard.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","20","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/standards/testing-standard.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\DeveloperGuide-document-inventory.md","21","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/standards/security-standard.md"
